sep=;
"Series";"Time";"Value"
"Raspi_03";"2021-10-01T11:28:53+02:00";559.8252563476562
"Raspi_03";"2021-10-01T11:28:55+02:00";560.2122192382812
"Raspi_03";"2021-10-01T11:28:57+02:00";560.2788696289062
"Raspi_03";"2021-10-01T11:28:59+02:00";559.823974609375
"Raspi_03";"2021-10-01T11:29:01+02:00";559.6064453125
"Raspi_03";"2021-10-01T11:29:03+02:00";559.5571899414062
"Raspi_03";"2021-10-01T11:29:05+02:00";558.75732421875
"Raspi_03";"2021-10-01T11:29:07+02:00";558.5300903320312
"Raspi_03";"2021-10-01T11:29:10+02:00";558.1593627929688
"Raspi_03";"2021-10-01T11:29:12+02:00";558.316650390625
"Raspi_03";"2021-10-01T11:29:14+02:00";558.3096313476562
"Raspi_03";"2021-10-01T11:29:16+02:00";558.5489501953125
"Raspi_03";"2021-10-01T11:29:18+02:00";558.069580078125
"Raspi_03";"2021-10-01T11:29:20+02:00";558.189697265625
"Raspi_03";"2021-10-01T11:29:22+02:00";557.4039916992188
"Raspi_03";"2021-10-01T11:29:24+02:00";558.6692504882812
"Raspi_03";"2021-10-01T11:29:26+02:00";559.6395874023438
"Raspi_03";"2021-10-01T11:29:29+02:00";561.2197875976562
"Raspi_03";"2021-10-01T11:29:31+02:00";562.11181640625
"Raspi_03";"2021-10-01T11:29:33+02:00";561.5621948242188
"Raspi_03";"2021-10-01T11:29:35+02:00";562.1181640625
"Raspi_03";"2021-10-01T11:29:37+02:00";560.4882202148438
"Raspi_03";"2021-10-01T11:29:39+02:00";559.2245483398438
"Raspi_03";"2021-10-01T11:29:41+02:00";555.5314331054688
"Raspi_03";"2021-10-01T11:29:43+02:00";553.5594482421875
"Raspi_03";"2021-10-01T11:29:45+02:00";554.4607543945312
"Raspi_03";"2021-10-01T11:29:48+02:00";553.6664428710938
"Raspi_03";"2021-10-01T11:29:50+02:00";553.7205810546875
"Raspi_03";"2021-10-01T11:29:52+02:00";552.829345703125
"Raspi_03";"2021-10-01T11:29:54+02:00";553.1942138671875
"Raspi_03";"2021-10-01T11:29:56+02:00";553.0743408203125
"Raspi_03";"2021-10-01T11:29:58+02:00";551.9375
"Raspi_03";"2021-10-01T11:30:00+02:00";551.406982421875
"Raspi_03";"2021-10-01T11:30:02+02:00";551.630859375
"Raspi_03";"2021-10-01T11:30:04+02:00";551.6964111328125
"Raspi_03";"2021-10-01T11:30:06+02:00";552.9210815429688
"Raspi_03";"2021-10-01T11:30:09+02:00";553.5602416992188
"Raspi_03";"2021-10-01T11:30:11+02:00";552.7387084960938
"Raspi_03";"2021-10-01T11:30:13+02:00";552.341064453125
"Raspi_03";"2021-10-01T11:30:15+02:00";552.5360717773438
"Raspi_03";"2021-10-01T11:30:17+02:00";551.5263061523438
"Raspi_03";"2021-10-01T11:30:19+02:00";552.0075073242188
"Raspi_03";"2021-10-01T11:30:21+02:00";552.498779296875
"Raspi_03";"2021-10-01T11:30:23+02:00";553.4029541015625
"Raspi_03";"2021-10-01T11:30:25+02:00";554.4404907226562
"Raspi_03";"2021-10-01T11:30:28+02:00";555.0105590820312
"Raspi_03";"2021-10-01T11:30:30+02:00";556.1004028320312
"Raspi_03";"2021-10-01T11:30:32+02:00";557.1688232421875
"Raspi_03";"2021-10-01T11:30:34+02:00";558.08935546875
"Raspi_03";"2021-10-01T11:30:36+02:00";557.7078857421875
"Raspi_03";"2021-10-01T11:30:38+02:00";557.285400390625
"Raspi_03";"2021-10-01T11:30:40+02:00";557.5359497070312
"Raspi_03";"2021-10-01T11:30:42+02:00";556.6739501953125
"Raspi_03";"2021-10-01T11:30:44+02:00";555.9630126953125
"Raspi_03";"2021-10-01T11:30:47+02:00";556.6798706054688
"Raspi_03";"2021-10-01T11:30:49+02:00";556.712890625
"Raspi_03";"2021-10-01T11:30:51+02:00";558.927490234375
"Raspi_03";"2021-10-01T11:30:53+02:00";558.8565063476562
"Raspi_03";"2021-10-01T11:30:55+02:00";560.7810668945312
"Raspi_03";"2021-10-01T11:30:57+02:00";560.0016479492188
"Raspi_03";"2021-10-01T11:30:59+02:00";559.2462768554688
"Raspi_03";"2021-10-01T11:31:01+02:00";558.9851684570312
"Raspi_03";"2021-10-01T11:31:03+02:00";559.2992553710938
"Raspi_03";"2021-10-01T11:31:06+02:00";558.8258666992188
"Raspi_03";"2021-10-01T11:31:08+02:00";557.5274658203125
"Raspi_03";"2021-10-01T11:31:10+02:00";557.0708618164062
"Raspi_03";"2021-10-01T11:31:12+02:00";555.8324584960938
